,PATTERN,RECODING2,TOTAL_OCCURRENCES
3488,theory int trade dua,ECONOMICS,12
3489,theory term structur,FINANCE,12
3490,theory valuation fro,DK,12
3491,thesis london u,DK,12
3492,tilb u,DK,12
3493,time goods well bein,SOCIOLOGY,12
3494,tobacco worker,DK,12
3495,topological methods,MATHEMATICS,12
3496,transport res rec,BUSINESS,12
3497,treasury b,FINANCE,12
3498,u brit col fac c,DK,12
3499,u cal res progr f,FINANCE,12
3500,u chic grad sch b,BUSINESS,12
3501,u economics,ECONOMICS,12
3502,ucla,DK,12
3503,unpub asymptotic pro,ECONOMICS,12
3504,unpub capital market,FINANCE,12
3505,unpub empirical inve,ECONOMICS,12
3506,unpub math operation,MATHEMATICS,12
3507,unpub optimal moneta,ECONOMICS,12
3508,unpub optimal taxati,ECONOMICS,12
3509,unpub wage inequalit,ECONOMICS,12
3510,urban ec,ECONOMICS,12
3511,us,DK,12
3512,value call privilege,FINANCE,12
3513,vierteljahrschrift s,ECONOMICS,12
3514,volkswirtschaftliche,ECONOMICS,12
3515,wage behavior postwa,ECONOMICS,12
3516,welfare ECONOMICSth,ECONOMICS,12
3517,what determines savi,ECONOMICS,12
3518,what money cant buy,FINANCE,12
3519,women labor market,ECONOMICS,12
3520,worl,DK,12
3521,world,DK,12
3522,world ec millennial,ECONOMICS,12
3523,197,DK,11
3524,20,DK,11
3525,2008,DK,11
3526,2nd p s lin progr,MATHEMATICS,11
3527,a,DK,11
3528,aba j,LAW,11
3529,accounting business,BUSINESS,11
3530,acta math-djursholm,MATHEMATICS,11
3531,adaptation natural a,DK,11
3532,adaptive decision ma,PSYCHOLOGY,11
3533,adv ec,ECONOMICS,11
3534,adverse select unpub,ECONOMICS,11
3535,adverse selection la,ECONOMICS,11
3536,aer in press,ECONOMICS,11
3537,africa,DK,11
3538,am dilemma,SOCIOLOGY,11
3539,am ec ass papers p,ECONOMICS,11
3540,am labor legislation,LAW,11
3541,analysis family budg,SOCIOLOGY,11
3542,anim behav,MEDIA,11
3543,ann abstr stat,STATISTICAL DATA,11
3544,ann am academy polit,POLSCIENCE,11
3545,ann mathematical sta,STATISTICS,11
3546,ann ponts chaussees,DK,11
3547,ann rep ftc,LAW,11
3548,antiequilibrium,ECONOMICS,11
3549,applied dynamic prog,MATHEMATICS,11
3550,applied optimal cont,MATHEMATICS,11
3551,asymptotic expansion,MATHEMATICS,11
3552,b bur lab stat,STATISTICAL DATA,11
3553,banking,FINANCE,11
3554,bayesian data anal,STATISTICS,11
3555,bost u,DK,11
3556,bread,DK,11
3557,brook pap ec act,ECONOMICS,11
3558,brooking pap eco ac,ECONOMICS,11
3559,brookings rev,ECONOMICS,11
3560,business cycles nati,ECONOMICS,11
3561,capital critique pol,OTHER,11
3562,carn mell u w,DK,11
3563,carnegie rochester s,DK,11
3564,ce,DK,11
3565,cepr discussion pape,ECONOMICS,11
3566,cepremap,ECONOMICS,11
3567,cesifo econ stud,ECONOMICS,11
3568,choice consequence,DK,11
3569,circ,DK,11
3570,clear convincing evi,LAW,11
3571,col u,DK,11
3572,col u dep ec,ECONOMICS,11
3573,committee decisions,SOCIOLOGY,11
3574,common value auction,ECONOMICS,11
3575,concentration price,ECONOMICS,11
3576,consumer demand labo,ECONOMICS,11
3577,continental bank j a,FINANCE,11
3578,contrib to econ anal,ECONOMICS,11
3579,controlled diffusion,STATISTICS,11
3580,corp gov,LAW,11
3581,corporate bankruptcy,BUSINESS,11
3582,corporation income t,ECONOMICS,11
3583,cowl f pap,ECONOMICS,11
3584,crime justice rev re,LAW,11
3585,cuadernos ec,ECONOMICS,11
3586,dec ec soc m,DK,11
3587,decision value theor,ECONOMICS,11
3588,demand anal study ec,ECONOMICS,11
3589,demographic yb,DEMOGRAPHY,11
3590,descartes error emot,PSYCHOLOGY,11
3591,dev econ,ECONOMICS,11
3592,double auction marke,ECONOMICS,11
3593,ec cities,URBAN STUDIES,11
3594,ec conformism,ECONOMICS,11
3595,ec consequences peac,ECONOMICS,11
3596,ec forecasts expecta,ECONOMICS,11
3597,ec full employment,ECONOMICS,11
3598,ec market disequilib,ECONOMICS,11
3599,ec math methods,ECONOMICS,11
3600,ec modelling,ECONOMICS,11
3601,ec planning,ECONOMICS,11
3602,ec public interest,ECONOMICS,11
3603,ec sellers competiti,ECONOMICS,11
3604,ec technological cha,ECONOMICS,11
3605,ec values org,ECONOMICS,11
3606,econometrics panel d,ECONOMICS,11
3607,economic growth,ECONOMICS,11
3608,economic history rev,ECONOMICS,11
3609,economic theory,ECONOMICS,11
3610,ECONOMICSregulation,LAW,11
3611,effect federal taxes,ECONOMICS,11
3612,effects exchange rat,ECONOMICS,11
3613,effects taxation inv,ECONOMICS,11
3614,ekonomski pregled,ECONOMICS,11
3615,empirical macroecono,ECONOMICS,11
3616,english capital mark,FINANCE,11
3617,enterprise secular c,BUSINESS,11
3618,environ sci technol,NATURAL SCIENCES,11
3619,essays math ec honor,ECONOMICS,11
3620,ethnic groups confli,SOCIOLOGY,11
3621,ethnographic atlas,SOCIOLOGY,11
3622,ethnology,SOCIOLOGY,11
3623,european economic re,ECONOMICS,11
3624,european miracle env,OTHER,11
3625,evaluating reliabili,DK,11
3626,evaluating welfare and training programs,PUBLIC POL,11
3627,evolutionary games e,ECONOMICS,11
3628,explorations entrepr,BUSINESS,11
3629,external benefits pu,DK,11
3630,factor anal statisti,STATISTICS,11
3631,fdn financial ec,ECONOMICS,11
3632,fed reg,DK,11
3633,fin mark group,FINANCE,11
3634,financial market vol,FINANCE,11
3635,financial statement,BUSINESS,11
3636,finding jobs work we,DK,11
3637,flow business funds,BUSINESS,11
3638,forschung wissenscha,DK,11
3639,game theory politica,POLSCIENCE,11
3640,game theory social c,SOCIOLOGY,11
3641,gen rep,DK,11
3642,general series nber,ECONOMICS,11
3643,getting job study co,SOCIOLOGY,11
3644,global econometrics,ECONOMICS,11
3645,gold prices wages gr,ECONOMICS,11
3646,gorman lect econ,ECONOMICS,11
3647,great depression,ECONOMICS,11
3648,great depression rev,ECONOMICS,11
3649,guide keynes,ECONOMICS,11
3650,handworterbuch staat,POLSCIENCE,11
3651,harvard ec studies,ECONOMICS,11
3652,hdb ec growth b,ECONOMICS,11
3653,hdb population fam b,ECONOMICS,11
3654,highway res board p,URBAN STUDIES,11
3655,hist trade unionism,SOCIOLOGY,11
3656,i,DK,11
3657,ieee t pattern anal,COMPUTER,11
3658,in press hdb expt ec,ECONOMICS,11
3659,in press hdb financi,FINANCE,11
3660,incentives org publi,DK,11
3661,income redistributio,ECONOMICS,11
3662,indian ec rev,ECONOMICS,11
3663,indian j ec,ECONOMICS,11
3664,industrial research,BUSINESS,11
3665,information ECONOMICSand policy,ECONOMICS,11
3666,inquiry,DK,11
3667,inquiry principles p,DK,11
3668,int ec pap,ECONOMICS,11
3669,int finance discussi,FINANCE,11
3670,int financial statis,FINANCE,11
3671,int game theory rev,ECONOMICS,11
3672,int trade national i,ECONOMICS,11
3673,interpersonal comp w,SOCIOLOGY,11
3674,intro positive polit,POLSCIENCE,11
3675,j am hist,HISTORY,11
3676,j am med ass,HEALTH,11
3677,j child psychol psyc,PSYCHOLOGY,11
3678,j consum aff,ECONOMICS,11
3679,j consum psychol,PSYCHOLOGY,11
3680,j econ soc meas,STATISTICS,11
3681,j evolutionary ec,ECONOMICS,11
3682,j lond math soc,MATHEMATICS,11
3683,j math biol,NATURAL SCIENCES,11
3684,j money credit b aug,ECONOMICS,11
3685,j psychol,PSYCHOLOGY,11
3686,j publ econ,ECONOMICS,11
3687,j reine angew math,MATHEMATICS,11
3688,j stud alcohol,PSYCHOLOGY,11
3689,jm keynes,ECONOMICS,11
3690,journal of mathematical economics,ECONOMICS,11
3691,labour gazette,ECONOMICS,11
3692,lattice theory,MATHEMATICS,11
3693,leading ec indicator,ECONOMICS,11
3694,learning rationality,EDUCATION,11
3695,linear operators,MATHEMATICS,11
3696,location theory shoe,URBAN STUDIES,11
3697,long term contracts,LAW,11
3698,lowering permanent r,DK,11
3699,macroeconomic anal,ECONOMICS,11
3700,macroeconomic polici,ECONOMICS,11
3701,macroECONOMICStheor,ECONOMICS,11
3702,manage decis econ,ECONOMICS,11
3703,management models in,BUSINESS,11
3704,managerial incentive,BUSINESS,11
3705,manp rep pres,ECONOMICS,11
3706,math comput,COMPUTER,11
3707,math investigations,MATHEMATICS,11
3708,measurement error mo,STATISTICS,11
3709,measurement labor co,ECONOMICS,11
3710,mich stat u agr,AGRICULTURE,11
3711,microeconomics,ECONOMICS,11
3712,microstructure appro,DK,11
3713,microstructure secur,FINANCE,11
3714,milbank fund q,HEALTH,11
3715,misspecification tes,DK,11
3716,modern banking,FINANCE,11
3717,monetary reform,ECONOMICS,11
3718,money inflation,ECONOMICS,11
3719,monthly weather,NATURAL SCIENCES,11
3720,more accurate measur,DK,11
3721,mpra,ECONOMICS,11
3722,naca b,BUSINESS,11
3723,national banking jun,FINANCE,11
3724,natl bur ec re,ECONOMICS,11
3725,neuroimage,HEALTH,11
3726,niesr,ECONOMICS,11
3727,not just money ec th,PSYCHOLOGY,11
3728,nw u kell grad s,DK,11
3729,obstet gynecol,HEALTH,11
3730,operations res verfa,BUSINESS,11
3731,optimal monetary pol,ECONOMICS,11
3732,org behav human deci,SOCIOLOGY,11
3733,outlook,DK,11
3734,overeducated am,EDUCATION,11
3735,p c bank structure c,DK,11
3736,p nat ass railw comm,BUSINESS,11
3737,p nat tax ass,ECONOMICS,11
3738,papers nonmarket dec,ECONOMICS,11
3739,patents citations in,DK,11
3740,pay performance unfu,BUSINESS,11
3741,pay war,ECONOMICS,11
3742,pch23,DK,11
3743,phys rev e,NATURAL SCIENCES,11
3744,planov khoziaistvo,DK,11
3745,political ec growth,ECONOMICS,11
3746,political ec int tra,ECONOMICS,11
3747,political ec policy,ECONOMICS,11
3748,politics markets am,EDUCATION,11
3749,portfolio behavior f,FINANCE,11
3750,position laborer sys,ECONOMICS,11
3751,pr14,DK,11
3752,pr15,DK,11
3753,pr19,DK,11
3754,pr5,DK,11
3755,prices quantities,ECONOMICS,11
3756,pricing employment t,ECONOMICS,11
3757,princ econ hist w wo,ECONOMICS,11
3758,princ u ec res pr,ECONOMICS,11
3759,princ u res mem,DK,11
3760,problemy ekonomiki,ECONOMICS,11
3761,psychology,PSYCHOLOGY,11
3762,public admin rev,POLSCIENCE,11
3763,public ec urban comm,URBAN STUDIES,11
3764,public stake union p,POLSCIENCE,11
3765,purchasing power par,ECONOMICS,11
3766,q j business ec,ECONOMICS,11
3767,quantity price index,ECONOMICS,11
3768,random walk down wal,STATISTICS,11
3769,readings int economi,ECONOMICS,11
3770,recent dev int banki,FINANCE,11
3771,regional sci urban e,URBAN STUDIES,11
3772,rep fed res board,STATISTICAL DATA,11
3773,res,DK,11
3774,res mem,DK,11
3775,resour energ,NATURAL SCIENCES,11
3776,retirement ec behav,ECONOMICS,11
3777,rev federal reserve,ECONOMICS,11
3778,rev finan stud,FINANCE,11
3779,risk uncertainty,ECONOMICS,11
3780,riv politica ec,ECONOMICS,11
3781,robustness,DK,11
3782,roch ctr ec res,ECONOMICS,11
3783,shape river long ter,EDUCATION,11
3784,short run forecastin,DK,11
3785,siam j math anal,MATHEMATICS,11
3786,soc philos policy,PHILOSOPHY,11
3787,social security reti,HEALTH,11
3788,sociol method res,SOCIOLOGY,11
3789,special papers int e,ECONOMICS,11
3790,stat med,HEALTH,11
3791,statistical confluen,STATISTICS,11
3792,stockh u i int e,ECONOMICS,11
3793,strategic human reso,BUSINESS,11
3794,strategic trade poli,ECONOMICS,11
3795,strategy predation a,DK,11
3796,studies business adm,BUSINESS,11
3797,studies co finance,FINANCE,11
3798,studies development,ECONOMICS,11
3799,studies public regul,LAW,11
3800,studies structure ur,DK,11
3801,surveys economic the,ECONOMICS,11
3802,synthetic materials,GENERAL-SCIENTIFIC,11
3803,tax pol ec,ECONOMICS,11
3804,technol cult,DK,11
3805,technology and capital formation,ECONOMICS,11
3806,technology and productivity : the challenge for economic policy,ECONOMICS,11
3807,theory ec hist,ECONOMICS,11
3808,theory econometrics,ECONOMICS,11
3809,theory exchange,DK,11
3810,theory int economic,ECONOMICS,11
3811,theory measurement t,STATISTICS,11
3812,theory moral hazar 1,ECONOMICS,11
3813,theory point estimat,STATISTICS,11
3814,theory protection,DK,11
3815,thesis harvard busin,DK,11
3816,thesis london busine,DK,11
3817,thesis u calif,DK,11
3818,time cross,DK,11
3819,tnec mon,ECONOMICS,11
3820,transportation econo,ECONOMICS,11
3821,treatise political e,ECONOMICS,11
3822,u brist dep ec,ECONOMICS,11
3823,u brist disc p,DK,11
3824,u cal ctr res man,BUSINESS,11
3825,u cal dep ec di,ECONOMICS,11
3826,u cal sant barb,DK,11
3827,u cambr dep appl,ECONOMICS,11
3828,u chic work pap,DK,11
3829,u national bureau c,DK,11
3830,u penns dep ec d,ECONOMICS,11
3831,u roch roch ctr,HEALTH,11
3832,u wisc mad soc,SOCIOLOGY,11
3833,uncertainty expectat,ECONOMICS,11
3834,understanding povert,ECONOMICS,11
3835,unemployment policy,ECONOMICS,11
3836,unemployment problem,ECONOMICS,11
3837,unpub intrahousehold,ECONOMICS,11
3838,unpub nw u,DK,11
3839,unpub rev ec statist,ECONOMICS,11
3840,urb i work pa,URBAN STUDIES,11
3841,urban dev theory fac,URBAN STUDIES,11
3842,us bur cens b,DEMOGRAPHY,11
3843,us cens pop,DEMOGRAPHY,11
3844,value commodity outp,ECONOMICS,11
3845,vanderbilt law rev,LAW,11
3846,w grew rich ec trans,ECONOMICS,11
3847,wilmington j,MEDIA,11
3848,workers jobs inflati,ECONOMICS,11
3849,world ec,ECONOMICS,11
3850,yal icf,FINANCE,11
3851,yale ec essays   spr,ECONOMICS,11
3852,yale j reg,LAW,11
3853,year,DK,11
3854,0,DK,10
3855,2009,DK,10
3856,2nd course stochasti,STATISTICS,10
3857,administrative behav,POLSCIENCE,10
3858,aer papers p,ECONOMICS,10
3859,agr dev int perspect,AGRICULTURE,10
3860,am railroads transfo,URBAN STUDIES,10
3861,am statistician,STATISTICS,10
3862,anal j,PHILOSOPHY,10
3863,analytical economics,ECONOMICS,10
3864,ann c,DK,10
3865,ann regional sci,URBAN STUDIES,10
3866,ann rep board gov,ECONOMICS,10
3867,antitrust policy,LAW,10
3868,applied economic,ECONOMICS,10
3869,applied nonparametri,STATISTICS,10
3870,approximation functi,MATHEMATICS,10
3871,arch intern med,HEALTH,10
3872,arrow fdn theory ec,ECONOMICS,10
3873,aspects labour marke,ECONOMICS,10
3874,assessment quality g,ECONOMICS,10
3875,asymptotic methods s,STATISTICS,10
3876,austr nat u work,DK,10
3877,automatica,GENERAL-SCIENTIFIC,10
3878,b nat tax ass,ECONOMICS,10
3879,b oxford i ec statis,ECONOMICS,10
3880,bank japan monetary,STATISTICAL DATA,10
3881,bargaining behav,ECONOMICS,10
3882,bell j ec manage spr,BUSINESS,10
3883,bell lab disc pa,GENERAL-SCIENTIFIC,10
3884,birkb coll disc p,DK,10
3885,black monday future,BUSINESS,10
3886,bolshevik,HISTORY,10
3887,brown u,DK,10
3888,bureaucracy what gov,POLSCIENCE,10
3889,business behav value,BUSINESS,10
3890,c 2 sess,DK,10
3891,calcul probabilites,STATISTICS,10
3892,can j agr econ,ECONOMICS,10
3893,canadian j ec po aug,ECONOMICS,10
3894,capital am economy i,ECONOMICS,10
3895,capital budgeting de,ECONOMICS,10
3896,capital theory distr,ECONOMICS,10
3897,capital theory dynam,ECONOMICS,10
3898,career mobility corp,SOCIOLOGY,10
3899,cens ind,DEMOGRAPHY,10
3900,cens us,DEMOGRAPHY,10
3901,centr bank surv for,STATISTICAL DATA,10
3902,child abuse neglect,SOCIOLOGY,10
3903,coll choice am,ECONOMICS,10
3904,commentary,DK,10
3905,commun stat a-theor,STATISTICS,10
3906,comp polit,POLSCIENCE,10
3907,comp stud soc hist,SOCIOLOGY,10
3908,comparative national,DK,10
3909,competition monopoly,ECONOMICS,10
3910,computational methods for the study of dynamic economies,ECONOMICS,10
3911,computer intensive m,STATISTICS,10
3912,computer simulation,COMPUTER,10
3913,conditions economic,ECONOMICS,10
3914,confluent hypergeome,MATHEMATICS,10
3915,consequences growing,SOCIOLOGY,10
3916,consumer credit ec s,ECONOMICS,10
3917,consumer finance ind,ECONOMICS,10
3918,cont finance digest,FINANCE,10
3919,cont issues ec,ECONOMICS,10
3920,cont macroeconomic m,ECONOMICS,10
3921,corporate income ret,BUSINESS,10
3922,corporation modern s,BUSINESS,10
3923,correspondence l wal,ECONOMICS,10
3924,crime,SOCIOLOGY,10
3925,crime delinquency,SOCIOLOGY,10
3926,ctr lab ec disc,ECONOMICS,10
3927,curr pop rep p23,DEMOGRAPHY,10
3928,debt equity choice,FINANCE,10
3929,defenc econ,ECONOMICS,10
3930,democracy dev politi,POLSCIENCE,10
3931,dep state b,POLSCIENCE,10
3932,design water resourc,NATURAL SCIENCES,10
3933,determinants matrice,MATHEMATICS,10
3934,deterrence incapacit,DK,10
3935,differential games r,ECONOMICS,10
3936,dimensions tax desig,ECONOMICS,10
3937,discrete appl math,MATHEMATICS,10
3938,discrete multivariat,STATISTICS,10
3939,distribution redistr,ECONOMICS,10
3940,earnings announcemen,FINANCE,10
3941,ec anal accident law,LAW,10
3942,ec decision making g,ECONOMICS,10
3943,ec dev latin am,ECONOMICS,10
3944,ec hist modern brita,ECONOMICS,10
3945,ec justice,ECONOMICS,10
3946,ec methods,ECONOMICS,10
3947,ec policy full emplo,ECONOMICS,10
3948,ec population,ECONOMICS,10
3949,ec regulation princi,ECONOMICS,10
3950,ec theory core,ECONOMICS,10
3951,ecgi,BUSINESS,10
3952,econometrica s mat,ECONOMICS,10
3953,economic behavior af,ECONOMICS,10
3954,economic inequality,ECONOMICS,10
3955,economic policy prin,ECONOMICS,10
3956,ECONOMICSproperty t,ECONOMICS,10
3957,ECONOMICSsoviet pla,ECONOMICS,10
3958,economies scale form,ECONOMICS,10
3959,ed income human capi,ECONOMICS,10
3960,effects taxation exe,ECONOMICS,10
3961,elementary ec,ECONOMICS,10
3962,elementary principle,DK,10
3963,espaces topologiques,MATHEMATICS,10
3964,essays labor market,ECONOMICS,10
3965,eur j polit res,POLSCIENCE,10
3966,european capital mar,FINANCE,10
3967,european rev social,SOCIOLOGY,10
3968,evaluating welfare t,ECONOMICS,10
3969,external deficits do,ECONOMICS,10
3970,f modern anal,MATHEMATICS,10
3971,facts fig gov fin,ECONOMICS,10
3972,falk i disc pap,ECONOMICS,10
3973,fed res bank ka,STATISTICAL DATA,10
3974,federal income tax,ECONOMICS,10
3975,federal tax treatmen,ECONOMICS,10
3976,federal trade commis,LAW,10
3977,feds,DK,10
3978,finance constraints,ECONOMICS,10
3979,financial analys jan,FINANCE,10
3980,financial analys mar,FINANCE,10
3981,financial executive,FINANCE,10
3982,financial hist rev,FINANCE,10
3983,financial manage aut,BUSINESS,10
3984,financial manage win,BUSINESS,10
3985,financial markets co,FINANCE,10
3986,financial markets fi,FINANCE,10
3987,financial times,MEDIA,10
3988,fiscal federalism gr,ECONOMICS,10
3989,fiscal revolution am,ECONOMICS,10
3990,flow funds accounts,FINANCE,10
3991,forecasting yield pr,FINANCE,10
3992,foreign ec policy us,ECONOMICS,10
3993,ftc,LAW,10
3994,future lousy jobs,ECONOMICS,10
3995,game theory applicat,ECONOMICS,10
3996,general purpose technologies and economic growth,ECONOMICS,10
3997,generalized inverse,MATHEMATICS,10
3998,generating ec cycles,ECONOMICS,10
3999,gerontologist,HEALTH,10
4000,globalization hist e,ECONOMICS,10
4001,globalization unpub,ECONOMICS,10
4002,harv u disc,DK,10
4003,hdb ec finance a,ECONOMICS,10
4004,hdb ec giving altrui,ECONOMICS,10
4005,hdb monetary ec a,ECONOMICS,10
4006,hepburn report,PUBLIC POL,10
4007,highway res board b,URBAN STUDIES,10
4008,hist j,HISTORY,10
4009,hum nature-int bios,SOCIOLOGY,10
4010,hunts merchants maga,MEDIA,10
4011,imports manufactures,ECONOMICS,10
4012,in press ann ec stat,ECONOMICS,10
4013,in press carnegie ro,ECONOMICS,10
4014,in press int j ind o,ECONOMICS,10
4015,in press j urban ec,ECONOMICS,10
4016,in press jpe,ECONOMICS,10
4017,in press qje,ECONOMICS,10
4018,ind management r spr,BUSINESS,10
4019,independent,MEDIA,10
4020,indian ec j,ECONOMICS,10
4021,indian j agr ec,ECONOMICS,10
4022,inequality pay,ECONOMICS,10
4023,inequality reexamine,SOCIOLOGY,10
4024,innovations bond por,ECONOMICS,10
4025,instinct workmanship,BUSINESS,10
4026,instrumental variabl,ECONOMICS,10
4027,int debt dev countri,ECONOMICS,10
4028,int diffusion techno,ECONOMICS,10
4029,int fin disc pap,FINANCE,10
4030,int financial t busi,BUSINESS,10
4031,int rev econ financ,ECONOMICS,10
4032,int trade finance,FINANCE,10
4033,interest rates asset,FINANCE,10
4034,intertemporal substi,ECONOMICS,10
4035,intro ec,ECONOMICS,10
4036,intro stochastic int,STATISTICS,10
4037,invest econ-spain,ECONOMICS,10
4038,investment dealers d,BUSINESS,10
4039,investment portfolio,FINANCE,10
4040,investment value cap,BUSINESS,10
4041,involuntary unemploy,ECONOMICS,10
4042,irreversible investm,ECONOMICS,10
4043,j american statistic,STATISTICS,10
4044,j bus econ statist,ECONOMICS,10
4045,j commun,COMMUNICATION,10
4046,j conflict resolutio,POLSCIENCE,10
4047,j derivatives,FINANCE,10
4048,j discourses,SOCIOLOGY,10
4049,j ec literature,ECONOMICS,10
4050,j ec s,ECONOMICS,10
4051,j economic history,ECONOMICS,10
4052,j economic theor jun,ECONOMICS,10
4053,j educ statist,EDUCATION,10
4054,j financial eng,FINANCE,10
4055,j forensic ec,ECONOMICS,10
4056,j int economics,ECONOMICS,10
4057,j labour ec,ECONOMICS,10
4058,j law ec in press,ECONOMICS,10
4059,j law ec org,ECONOMICS,10
4060,j political econ feb,ECONOMICS,10
4061,j political econ jul,ECONOMICS,10
4062,j public policy mark,COMMUNICATION,10
4063,j real estate res,FINANCE,10
4064,j royal statisti a 2,STATISTICS,10
4065,j soil water conserv,NATURAL SCIENCES,10
4066,j stat comput sim,STATISTICS,10
4067,j urban ec,ECONOMICS,10
4068,japanese ec rev,ECONOMICS,10
4069,keynes general theor,ECONOMICS,10
4070,knowledge inform exp,ECONOMICS,10
4071,lab forc stat,ECONOMICS,10
4072,land economics,ECONOMICS,10
4073,lat am res rev,ECONOMICS,10
4074,law cont problems,LAW,10
4075,linear optimal contr,MATHEMATICS,10
4076,location theory,URBAN STUDIES,10
4077,long term ec growth,ECONOMICS,10
4078,m,DK,10
4079,macroeconomic unpub,ECONOMICS,10
4080,main ec ind,STATISTICAL DATA,10
4081,maintaining restorin,NATURAL SCIENCES,10
4082,management policies,BUSINESS,10
4083,managing water quali,NATURAL SCIENCES,10
4084,market structure cor,FINANCE,10
4085,mathematical optimiz,MATHEMATICS,10
4086,may p sem an sec pri,DK,10
4087,measurement househol,ECONOMICS,10
4088,measuring default ri,FINANCE,10
4089,microeconomic f macr,ECONOMICS,10
4090,migration ec growth,ECONOMICS,10
4091,models bounded ratio,ECONOMICS,10
4092,modern ind org,ECONOMICS,10
4093,moment inequal unpub,ECONOMICS,10
4094,money credit instrum,ECONOMICS,10
4095,money wealth economi,ECONOMICS,10
4096,monthly labor re sep,STATISTICAL DATA,10
4097,morbidity mortality,HEALTH,10
4098,much corporate treas,BUSINESS,10
4099,multidimensional sca,MATHEMATICS,10
4100,multiple imputation,DK,10
4101,mut fund fact book,FINANCE,10
4102,nat bur ec res b,ECONOMICS,10
4103,nat i ec rev,ECONOMICS,10
4104,nat int meas full em,ECONOMICS,10
4105,national banking dec,FINANCE,10
4106,national product 186,STATISTICAL DATA,10
4107,national saving ec p,ECONOMICS,10
4108,nationalekonomiska f,ECONOMICS,10
4109,natl job corps study,ECONOMICS,10
4110,natural value,DK,10
4111,nces,EDUCATION,10
4112,neutralized money st,ECONOMICS,10
4113,new mortgage designs,FINANCE,10
4114,new theory credit co,ECONOMICS,10
4115,nous,DK,10
4116,ns trade employment,ECONOMICS,10
4117,nudge improving deci,PSYCHOLOGY,10
4118,nuff coll,DK,10
4119,numerical recipes ar,DK,10
4120,open market policies,FINANCE,10
4121,optimal income tax r,ECONOMICS,10
4122,other path invisible,ECONOMICS,10
4123,oxford ec papers jan,ECONOMICS,10
4124,p am stat ass bus ec,BUSINESS,10
4125,p brit acad,OTHER,10
4126,p natl tax ass,ECONOMICS,10
4127,panel data econometr,ECONOMICS,10
4128,papers p am ec ass,ECONOMICS,10
4129,parish lett books,DK,10
4130,pc1,DK,10
4131,pch21,DK,10
4132,phi delta kappan,DK,10
4133,philanthropy public,DK,10
4134,philos mag,PHILOSOPHY,10
4135,point processes queu,STATISTICS,10
4136,policy sci,PUBLIC POL,10
4137,polit res quart,POLSCIENCE,10
4138,political ec fiscal,ECONOMICS,10
4139,political ec i compe,ECONOMICS,10
4140,political element de,POLSCIENCE,10
4141,population hist engl,DEMOGRAPHY,10
4142,population labor for,DEMOGRAPHY,10
4143,population resources,DEMOGRAPHY,10
4144,positive political t,POLSCIENCE,10
4145,positive theorie kap,ECONOMICS,10
4146,poverty inequality d,SOCIOLOGY,10
4147,power tax,ECONOMICS,10
4148,pr11,DK,10
4149,pr12,DK,10
4150,pr3,DK,10
4151,practical optimizati,MATHEMATICS,10
4152,price statistics fed,STATISTICAL DATA,10
4153,principles public ut,POLSCIENCE,10
4154,private antitrust li,LAW,10
4155,profits interest inv,ECONOMICS,10
4156,profits long run,BUSINESS,10
4157,prosp,DK,10
4158,protection competiti,LAW,10
4159,prudential regulatio,LAW,10
4160,psychol monogr,PSYCHOLOGY,10
4161,q j ec s,ECONOMICS,10
4162,qualified manpower e,DK,10
4163,quality life,DK,10
4164,quantity theory mone,ECONOMICS,10
4165,queens u dep ec,ECONOMICS,10
4166,rand,ECONOMICS,10
4167,readings welfare eco,ECONOMICS,10
4168,realkapital kapitalz,ECONOMICS,10
4169,redistribution publi,ECONOMICS,10
4170,regional model life,DEMOGRAPHY,10
4171,reinterpretation am,DK,10
4172,rep tax comm,ECONOMICS,10
4173,repeated games incom,ECONOMICS,10
4174,report ind commissio,DK,10
4175,res dev ind,BUSINESS,10
4176,res exp eco,ECONOMICS,10
4177,res fut,FINANCE,10
4178,res high educ,EDUCATION,10
4179,res human capital de,ECONOMICS,10
4180,res innovation moder,BUSINESS,10
4181,res labor ec s,ECONOMICS,10
4182,resource allocation,ECONOMICS,10
4183,retrospective bretto,ECONOMICS,10
4184,rev hist doctrines e,ECONOMICS,10
4185,rev world trad,ECONOMICS,10
4186,risk aversion portfo,FINANCE,10
4187,sales anticipations,BUSINESS,10
4188,scarcity growth,ECONOMICS,10
4189,scarcity growth ec n,ECONOMICS,10
4190,securities regulatio,LAW,10
4191,simulation based eco,ECONOMICS,10
4192,skew distributions s,STATISTICS,10
4193,social and economic networks,ECONOMICS,10
4194,social forces influe,SOCIOLOGY,10
4195,social goals ec i,ECONOMICS,10
4196,some leading princip,DK,10
4197,southern calif law r,LAW,10
4198,sovetskaia torgovlia,ECONOMICS,10
4199,spectral analysis it,MATHEMATICS,10
4200,spectral methods eco,ECONOMICS,10
4201,st johns law rev,LAW,10
4202,stability liapunovs,MATHEMATICS,10
4203,stanf u work,DK,10
4204,state macroeconomics,ECONOMICS,10
4205,stochastic calculus,STATISTICS,10
4206,stochastic models op,STATISTICS,10
4207,strategy choice,DK,10
4208,structure am economy,ECONOMICS,10
4209,structure evolution,DK,10
4210,studies ec aging,ECONOMICS,10
4211,studies public welfa,PUBLIC POL,10
4212,subjective well bein,PSYCHOLOGY,10
4213,surv curr bus s,BUSINESS,10
4214,survey changes famil,BUSINESS,10
4215,survey current b apr,BUSINESS,10
